!   Filename:    dtw007s.dgn
!   Date:        04/03/2020  4:35:04 PM
!   9900    42 12 47.0000  083 22 45.0000
!   9901    00 00 00.0000  083 22 45.0000
!   9902    43 12 47.0000  000 00 00.0000
!   9903    41 12 47.0000  000 00 00.0000
!   9904    00 00 00.0000  000 00 00.0000
!   9905    00 00 00.0000  000 00 00.0000
!   9906    00 00 00.0000  000 00 00.0000
!   9907    00 00 00.0000  000 00 00.0000
!   9908    00 00 00.0000  000 00 00.0000
!   9909    400000
LINE !
GP 41 45 18.0694  083 57 37.1289  !
LINE !
GP 41 46 06.3976  083 56 49.5770  !
GP 41 46 54.7203  083 56 02.0053  !
LINE !
GP 41 47 25.6255  083 54 13.7570  !
GP 41 47 27.9807  083 52 53.6100  !
LINE !
GP 41 47 30.3203  083 51 33.4612  !
GP 41 47 32.6444  083 50 13.3108  !
LINE !
GP 41 47 34.9530  083 48 53.1587  !
GP 41 47 37.2460  083 47 33.0049  !
LINE !
GP 41 47 39.5235  083 46 12.8495  !
GP 41 47 41.7855  083 44 52.6924  !
LINE !
GP 41 47 44.0319  083 43 32.5338  !
GP 41 47 46.2628  083 42 12.3735  !
LINE !
GP 41 47 48.4782  083 40 52.2116  !
GP 41 47 50.6780  083 39 32.0482  !
LINE !
GP 41 40 33.9470  082 54 27.2670  !
GP 41 41 15.8877  082 55 24.5536  !
LINE !
GP 41 41 57.8204  082 56 21.8608  !
GP 41 42 39.7451  082 57 19.1888  !
LINE !
GP 41 43 21.8859  082 58 16.2424  !
GP 41 44 04.2980  082 59 12.9490  !
LINE !
GP 41 44 46.7022  083 00 09.6763  !
GP 41 45 26.3016  083 01 02.6796  !
GP 41 45 29.0987  083 01 06.4242  !
LINE !
GP 41 46 11.4890  083 02 03.1908  !
GP 41 46 16.5612  083 02 09.9852  !
GP 41 46 53.8711  083 02 59.9786  !
LINE !
GP 41 47 36.2453  083 03 56.7873  !
GP 41 48 10.9800  083 04 43.3776  !
LINE !
GP 41 47 53.6976  083 37 41.5018  !
GP 41 47 55.8721  083 36 21.3352  !
LINE !
GP 41 47 58.0310  083 35 01.1671  !
GP 41 48 00.1744  083 33 40.9975  !
LINE !
GP 41 48 02.3022  083 32 20.8264  !
GP 41 48 04.4145  083 31 00.6537  !
LINE !
GP 41 48 06.5112  083 29 40.4796  !
